neigh_num,name,area_sqkm,lat,long,loc
6790,Wild Rose,1.772289991009738,53.470564,-113.381167,"(53.47056409015751, -113.3811672388747)"
4170,Garside Industrial,0.664488131212019,53.566750,-113.584178,"(53.56674982087874, -113.58417782461146)"
1111,Blatchford Area,3.055364352640443,53.571985,-113.516997,"(53.571984894044576, -113.51699744310062)"
4551,Granville,1.36243246233593,53.504872,-113.682797,"(53.50487164726408, -113.68279691128183)"
4023,Anthony Henday Rampart,3.14660612061102,53.627635,-113.576203,"(53.62763458998669, -113.57620317573685)"
5151,Strathcona Junction,0.586610397720092,53.508200,-113.494690,"(53.50820045649327, -113.4946902943883)"
3090,Carlisle,0.96189733382684,53.603520,-113.525915,"(53.603520218665025, -113.52591460361452)"
4024,Anthony Henday South Blackburne,1.192020009222973,53.434475,-113.504617,"(53.434474576027725, -113.50461697724832)"
1210,Riverdale,1.068524930257167,53.544107,-113.469011,"(53.54410729040709, -113.46901088309912)"
6620,River Valley Gold Bar,2.070699262094251,53.552270,-113.437568,"(53.552270074281466, -113.43756821133056)"
2700,Schonsee,1.244692612780172,53.632363,-113.455146,"(53.63236258167562, -113.45514587799303)"
4462,Edgemont,4.256876037540803,53.469743,-113.670840,"(53.46974339840954, -113.67084021729701)"
4600,West Sheffield Industrial,0.624060591785347,53.559493,-113.609044,"(53.55949273333583, -113.60904431356008)"
5451,Richford,0.591263813469266,53.427270,-113.507394,"(53.42726985862683, -113.50739446922825)"
3360,Rampart Industrial,3.63980995748995,53.614087,-113.577900,"(53.61408716665255, -113.57790016792704)"
4010,Alberta Park Industrial,0.664647754277495,53.566735,-113.596472,"(53.56673488579477, -113.59647151286094)"
6370,Kiniski Gardens,1.959488942469733,53.475924,-113.403303,"(53.47592374896073, -113.40330287696551)"
3020,Baranow,0.779204238513014,53.605734,-113.536103,"(53.605734466116544, -113.53610327823839)"
4340,Morin Industrial,0.668612809804225,53.544921,-113.633605,"(53.54492070023586, -113.63360526712503)"
4486,Stewart Greens,0.697007930110957,53.537584,-113.670535,"(53.537583614786115, -113.67053459033525)"
4015,Anthony Henday Mistatim,2.440099979698568,53.608478,-113.611955,"(53.60847815275362, -113.61195461642035)"
5575,Windermere Area,3.713267444054822,53.403015,-113.631796,"(53.40301453182545, -113.6317959003264)"
6700,Strathcona Industrial Park,2.676956029583387,53.474056,-113.478776,"(53.474056405942974, -113.47877609660063)"
5460,Skyrattler,0.617908799022224,53.450330,-113.522873,"(53.45032999390117, -113.52287333455308)"
